Iteration;currentValue;bestValue;current-Step-Size
1;1000000000.000000;Inf;0.300000
2;1000000000.000000;1000000000.000000;0.300000
3;1000000000.000000;1000000000.000000;0.300000
4;1000000000.000000;1000000000.000000;0.300000
5;1000000000.000000;1000000000.000000;0.300000
6;1000000000.000000;1000000000.000000;0.300000
7;1000000000.000000;1000000000.000000;0.300000
8;1000000000.000000;1000000000.000000;0.300000
9;1000000000.000000;1000000000.000000;0.300000
10;1000000000.000000;1000000000.000000;0.300000
11;1000000000.000000;1000000000.000000;0.300000
